studentid	mdate	mark	type	subjectid
271	2010.09.15	4	oral assessment	10
277	2010.09.15	5	oral assessment	10
62	2010.09.15	4	oral assessment	4
309	2010.09.15	1	topic test	16
302	2010.09.15	4	topic test	16
185	2010.09.15	5	oral assessment	3
298	2010.09.15	5	oral assessment	6
221	2010.09.15	5	oral assessment	6
360	2010.09.16	4	oral assessment	6
322	2010.09.16	3	oral assessment	6
53	2010.09.16	5	lesson work	18
119	2010.09.16	2	oral assessment	10
147	2010.09.16	5	oral assessment	10
264	2010.09.16	5	oral assessment	10
316	2010.09.16	5	quiz	12
290	2010.09.16	5	quiz	12
308	2010.09.16	5	quiz	12
303	2010.09.16	5	quiz	12
229	2010.09.16	5	quiz	12
267	2010.09.16	5	quiz	12
268	2010.09.16	5	quiz	12
240	2010.09.16	5	quiz	12
114	2010.09.16	5	quiz	12
104	2010.09.16	5	quiz	12
140	2010.09.16	5	quiz	12
116	2010.09.16	5	quiz	12
146	2010.09.16	5	quiz	12
180	2010.09.16	5	quiz	12
205	2010.09.16	5	quiz	12
128	2010.09.16	5	quiz	12
137	2010.09.16	4	quiz	12
175	2010.09.16	5	quiz	12
155	2010.09.16	5	quiz	12
167	2010.09.16	5	quiz	12
148	2010.09.16	5	quiz	12
209	2010.09.16	5	quiz	12
144	2010.09.16	5	quiz	12
156	2010.09.16	5	quiz	12
96	2010.09.16	3	quiz	12
151	2010.09.16	5	quiz	12
106	2010.09.16	5	quiz	12
104	2010.09.16	4	quiz	12
167	2010.09.16	4	quiz	12
148	2010.09.16	4	quiz	12
140	2010.09.16	5	topic test	12
116	2010.09.16	5	topic test	12
146	2010.09.16	5	topic test	12
128	2010.09.16	5	topic test	12
175	2010.09.16	5	topic test	12
155	2010.09.16	5	topic test	12
148	2010.09.16	5	topic test	12
156	2010.09.16	5	topic test	12
96	2010.09.16	5	topic test	12
384	2010.09.16	3	oral assessment	3
398	2010.09.16	5	oral assessment	19
69	2010.09.16	4	quiz	5
8	2010.09.16	4	quiz	5
9	2010.09.16	5	quiz	5
93	2010.09.16	3	quiz	5
43	2010.09.16	5	quiz	5
10	2010.09.16	5	quiz	5
52	2010.09.16	4	quiz	5
51	2010.09.16	5	quiz	5
59	2010.09.16	5	quiz	5
12	2010.09.16	5	quiz	5
2	2010.09.16	5	quiz	5
14	2010.09.16	5	quiz	5
49	2010.09.16	5	quiz	5
28	2010.09.16	5	quiz	5
17	2010.09.16	5	quiz	5
37	2010.09.16	4	quiz	5
88	2010.09.16	5	quiz	5
21	2010.09.16	5	quiz	5
66	2010.09.16	5	quiz	5
50	2010.09.16	5	quiz	5
23	2010.09.16	4	quiz	5
40	2010.09.16	5	quiz	5
60	2010.09.16	4	quiz	5
64	2010.09.16	4	quiz	5
113	2010.09.17	3	quiz	3
111	2010.09.17	4	quiz	3
65	2010.09.17	5	quiz	14
66	2010.09.17	4	quiz	14
35	2010.09.17	5	quiz	14
73	2010.09.17	4	quiz	14
87	2010.09.17	5	quiz	14
90	2010.09.17	4	oral assessment	12
75	2010.09.17	5	oral assessment	12
45	2010.09.17	5	oral assessment	12
55	2010.09.17	5	oral assessment	12
278	2010.09.17	5	oral assessment	14
277	2010.09.17	5	oral assessment	14
281	2010.09.17	5	oral assessment	14
280	2010.09.17	5	oral assessment	14
219	2010.09.17	5	oral assessment	14
313	2010.09.17	5	oral assessment	14
224	2010.09.17	3	oral assessment	14
226	2010.09.17	5	oral assessment	14
227	2010.09.17	3	oral assessment	14
217	2010.09.17	5	oral assessment	14
312	2010.09.17	3	oral assessment	14
275	2010.09.17	5	oral assessment	14
271	2010.09.17	4	oral assessment	14
282	2010.09.17	4	oral assessment	14
280	2010.09.17	5	oral assessment	14
275	2010.09.17	5	oral assessment	14
204	2010.09.17	2	oral assessment	14
145	2010.09.17	5	oral assessment	14
98	2010.09.17	4	oral assessment	14
211	2010.09.17	4	oral assessment	14
188	2010.09.17	3	oral assessment	14
197	2010.09.17	2	oral assessment	14
182	2010.09.17	5	oral assessment	14
112	2010.09.17	3	oral assessment	14
170	2010.09.17	2	oral assessment	14
125	2010.09.17	4	oral assessment	14
154	2010.09.17	3	topic test	12
225	2010.09.17	5	topic test	16
5	2010.09.17	5	lesson work	12
36	2010.09.17	5	lesson work	12
117	2010.09.17	5	lesson work	12
107	2010.09.17	5	lesson work	12
163	2010.09.17	5	lesson work	12
62	2010.09.17	5	topic test	17
301	2010.09.17	5	oral assessment	10
97	2010.09.17	4	oral assessment	10
164	2010.09.17	5	oral assessment	11
18	2010.09.17	5	quiz	13
262	2010.09.17	4	oral assessment	13
263	2010.09.17	4	quiz	13
297	2010.09.17	5	oral assessment	13
251	2010.09.17	4	quiz	13
253	2010.09.17	3	quiz	13
308	2010.09.17	3	oral assessment	13
308	2010.09.17	4	oral assessment	13
308	2010.09.17	3	quiz	13
274	2010.09.17	4	quiz	13
274	2010.09.17	4	oral assessment	13
274	2010.09.17	5	oral assessment	13
257	2010.09.17	5	quiz	13
257	2010.09.17	4	quiz	13
257	2010.09.17	5	oral assessment	13
266	2010.09.17	4	quiz	13
272	2010.09.17	5	quiz	13
272	2010.09.17	5	oral assessment	13
272	2010.09.17	5	quiz	13
267	2010.09.17	4	quiz	13
267	2010.09.17	5	quiz	13
267	2010.09.17	5	quiz	13
268	2010.09.17	4	quiz	13
268	2010.09.17	5	quiz	13
268	2010.09.17	3	quiz	13
140	2010.09.17	4	quiz	13
205	2010.09.17	4	quiz	13
205	2010.09.17	3	oral assessment	13
205	2010.09.17	4	oral assessment	13
108	2010.09.17	4	oral assessment	13
108	2010.09.17	4	quiz	13
128	2010.09.17	4	quiz	13
128	2010.09.17	5	quiz	13
128	2010.09.17	5	oral assessment	13
183	2010.09.17	4	quiz	13
183	2010.09.17	5	quiz	13
155	2010.09.17	5	quiz	13
155	2010.09.17	5	oral assessment	13
113	2010.09.17	3	quiz	13
129	2010.09.17	5	oral assessment	13
129	2010.09.17	4	quiz	13
103	2010.09.17	5	oral assessment	13
103	2010.09.17	4	quiz	13
103	2010.09.17	5	quiz	13
160	2010.09.17	3	oral assessment	13
160	2010.09.17	2	quiz	13
150	2010.09.17	5	quiz	13
150	2010.09.17	5	quiz	13
193	2010.09.17	5	quiz	13
193	2010.09.17	4	oral assessment	13
193	2010.09.17	5	oral assessment	13
111	2010.09.17	4	oral assessment	13
111	2010.09.17	5	oral assessment	13
111	2010.09.17	4	quiz	13
172	2010.09.17	5	quiz	13
172	2010.09.17	4	quiz	13
172	2010.09.17	5	quiz	13
158	2010.09.17	4	oral assessment	6
116	2010.09.17	5	oral assessment	6
176	2010.09.17	4	oral assessment	6
117	2010.09.17	5	oral assessment	6
180	2010.09.17	4	oral assessment	6
164	2010.09.17	4	oral assessment	6
159	2010.09.17	2	oral assessment	6
210	2010.09.17	5	oral assessment	6
185	2010.09.17	5	oral assessment	6
128	2010.09.17	3	oral assessment	6
107	2010.09.17	3	oral assessment	6
134	2010.09.17	2	oral assessment	6
155	2010.09.17	5	oral assessment	6
121	2010.09.17	5	oral assessment	6
113	2010.09.17	3	oral assessment	6
208	2010.09.17	4	oral assessment	6
190	2010.09.17	5	oral assessment	6
184	2010.09.17	5	oral assessment	6
209	2010.09.17	4	oral assessment	6
196	2010.09.17	2	oral assessment	6
199	2010.09.17	5	oral assessment	6
162	2010.09.17	4	oral assessment	6
166	2010.09.17	5	oral assessment	6
149	2010.09.17	2	oral assessment	6
173	2010.09.17	2	oral assessment	6
195	2010.09.17	3	oral assessment	6
160	2010.09.17	1	oral assessment	6
163	2010.09.17	5	oral assessment	6
124	2010.09.17	5	oral assessment	6
111	2010.09.17	4	oral assessment	6
174	2010.09.17	4	oral assessment	6
131	2010.09.17	5	oral assessment	6
132	2010.09.17	5	oral assessment	6
106	2010.09.17	3	oral assessment	6
172	2010.09.17	5	oral assessment	6
297	2010.09.17	5	lesson work	5
298	2010.09.17	5	lesson work	5
255	2010.09.17	5	lesson work	5
228	2010.09.17	5	lesson work	5
174	2010.09.17	5	oral assessment	3
230	2010.09.19	4	topic test	12
296	2010.09.19	4	topic test	12
300	2010.09.19	4	topic test	12
294	2010.09.19	4	topic test	12
389	2010.09.20	2	oral assessment	6
402	2010.09.20	5	quiz	12
345	2010.09.20	4	quiz	12
329	2010.09.20	5	quiz	12
347	2010.09.20	3	quiz	12
328	2010.09.20	3	quiz	12
339	2010.09.20	3	quiz	12
365	2010.09.20	3	quiz	12
418	2010.09.20	4	quiz	12
398	2010.09.20	2	quiz	12
371	2010.09.20	3	quiz	12
366	2010.09.20	4	quiz	12
364	2010.09.20	4	quiz	12
356	2010.09.20	4	quiz	12
235	2010.09.20	3	topic test	12
302	2010.09.20	3	topic test	12
287	2010.09.20	3	topic test	12
218	2010.09.20	4	oral assessment	10
409	2010.09.20	4	oral assessment	4
347	2010.09.20	4	oral assessment	4
390	2010.09.20	4	oral assessment	4
78	2010.09.20	5	oral assessment	10
360	2010.09.20	5	oral assessment	11
324	2010.09.20	5	oral assessment	11
288	2010.09.20	5	oral assessment	7
294	2010.09.20	5	oral assessment	7
325	2010.09.20	5	lesson work	12
337	2010.09.20	5	lesson work	12
378	2010.09.20	5	lesson work	12
351	2010.09.20	5	lesson work	12
406	2010.09.20	5	lesson work	12
238	2010.09.20	5	oral assessment	7
296	2010.09.20	5	oral assessment	7
333	2010.09.20	5	lesson work	12
391	2010.09.20	5	lesson work	12
390	2010.09.20	5	lesson work	12
100	2010.09.20	5	topic test	14
70	2010.09.20	4	topic test	14
48	2010.09.20	5	topic test	14
1	2010.09.20	4	topic test	14
34	2010.09.20	5	topic test	14
333	2010.09.20	4	topic test	14
422	2010.09.20	5	topic test	14
318	2010.09.20	4	oral assessment	4
286	2010.09.20	5	oral assessment	4
31	2010.09.20	5	oral assessment	4
80	2010.09.20	5	oral assessment	4
358	2010.09.20	5	topic test	14
423	2010.09.20	5	topic test	14
391	2010.09.20	5	topic test	14
346	2010.09.20	5	topic test	14
334	2010.09.20	5	topic test	14
421	2010.09.20	5	topic test	14
390	2010.09.20	5	topic test	14
368	2010.09.20	5	topic test	14
333	2010.09.20	4	oral assessment	3
329	2010.09.20	5	oral assessment	19
188	2010.09.20	4	oral assessment	14
112	2010.09.20	5	oral assessment	14
418	2010.09.20	4	quiz	14
325	2010.09.20	4	quiz	14
370	2010.09.20	4	quiz	14
412	2010.09.20	5	quiz	14
337	2010.09.20	3	quiz	14
378	2010.09.20	5	quiz	14
406	2010.09.20	5	quiz	14
410	2010.09.20	5	quiz	14
364	2010.09.20	5	quiz	14
354	2010.09.20	5	quiz	14
351	2010.09.20	5	quiz	14
347	2010.09.20	5	quiz	14
366	2010.09.20	5	quiz	14
374	2010.09.20	5	quiz	14
339	2010.09.20	5	quiz	14
383	2010.09.20	5	quiz	14
365	2010.09.20	4	oral assessment	4
128	2010.09.20	5	oral assessment	13
150	2010.09.20	5	oral assessment	13
172	2010.09.20	4	oral assessment	13
140	2010.09.20	4	oral assessment	13
105	2010.09.20	4	quiz	13
129	2010.09.20	4	oral assessment	13
345	2010.09.20	5	quiz	3
354	2010.09.20	1	quiz	3
368	2010.09.20	5	quiz	3
324	2010.09.20	5	quiz	3
56	2010.09.20	5	quiz	4
28	2010.09.20	3	quiz	4
50	2010.09.20	5	quiz	4
54	2010.09.20	4	quiz	4
333	2010.09.21	2	oral assessment	6
401	2010.09.21	5	lesson work	12
215	2010.09.21	5	oral assessment	7
311	2010.09.21	5	oral assessment	7
255	2010.09.21	5	oral assessment	7
228	2010.09.21	5	oral assessment	7
301	2010.09.21	5	oral assessment	7
298	2010.09.21	5	oral assessment	7
249	2010.09.21	5	oral assessment	7
369	2010.09.21	5	oral assessment	14
377	2010.09.21	5	oral assessment	14
289	2010.09.21	4	oral assessment	7
292	2010.09.21	4	oral assessment	7
292	2010.09.21	5	oral assessment	7
290	2010.09.21	5	oral assessment	7
271	2010.09.21	5	oral assessment	7
303	2010.09.21	5	oral assessment	7
267	2010.09.21	5	oral assessment	7
264	2010.09.21	5	oral assessment	7
275	2010.09.21	5	oral assessment	7
309	2010.09.21	4	topic test	16
215	2010.09.21	4	topic test	16
114	2010.09.21	5	quiz	12
104	2010.09.21	5	quiz	12
140	2010.09.21	3	quiz	12
116	2010.09.21	5	quiz	12
146	2010.09.21	5	quiz	12
180	2010.09.21	4	quiz	12
128	2010.09.21	5	quiz	12
137	2010.09.21	5	quiz	12
175	2010.09.21	5	quiz	12
155	2010.09.21	5	quiz	12
167	2010.09.21	5	quiz	12
209	2010.09.21	4	quiz	12
144	2010.09.21	5	quiz	12
156	2010.09.21	4	quiz	12
132	2010.09.21	4	quiz	12
106	2010.09.21	4	quiz	12
302	2010.09.21	5	topic test	16
178	2010.09.21	4	quiz	12
184	2010.09.21	5	quiz	12
179	2010.09.21	5	quiz	12
199	2010.09.21	5	quiz	12
195	2010.09.21	5	quiz	12
143	2010.09.21	4	quiz	12
202	2010.09.21	5	quiz	12
178	2010.09.21	5	quiz	12
7	2010.09.21	5	quiz	17
2	2010.09.21	5	quiz	17
82	2010.09.21	1	quiz	17
47	2010.09.21	5	quiz	17
78	2010.09.21	3	quiz	17
88	2010.09.21	3	quiz	17
63	2010.09.21	4	quiz	17
62	2010.09.21	5	quiz	17
19	2010.09.21	5	quiz	17
121	2010.09.21	5	oral assessment	11
166	2010.09.21	5	oral assessment	11
187	2010.09.21	5	quiz	17
118	2010.09.21	5	quiz	17
203	2010.09.21	5	quiz	17
210	2010.09.21	3	quiz	17
135	2010.09.21	4	quiz	17
138	2010.09.21	3	quiz	17
107	2010.09.21	4	quiz	17
209	2010.09.21	4	quiz	17
173	2010.09.21	3	quiz	17
163	2010.09.21	5	quiz	17
376	2010.09.21	5	oral assessment	11
18	2010.09.21	5	oral assessment	13
124	2010.09.21	5	oral assessment	3
163	2010.09.21	4	oral assessment	10
185	2010.09.21	5	quiz	10
199	2010.09.21	5	quiz	10
124	2010.09.21	5	quiz	10
106	2010.09.21	5	quiz	10
172	2010.09.21	5	quiz	10
131	2010.09.21	4	quiz	10
105	2010.09.21	4	oral assessment	13
105	2010.09.21	5	oral assessment	13
111	2010.09.21	4	oral assessment	13
111	2010.09.21	5	oral assessment	13
262	2010.09.21	4	oral assessment	13
262	2010.09.21	5	oral assessment	13
251	2010.09.21	4	oral assessment	13
267	2010.09.21	4	oral assessment	13
267	2010.09.21	5	oral assessment	13
350	2010.09.21	5	quiz	5
380	2010.09.21	5	quiz	5
413	2010.09.21	3	quiz	5
376	2010.09.21	4	quiz	5
361	2010.09.21	4	quiz	5
394	2010.09.21	4	quiz	5
322	2010.09.21	4	quiz	5
340	2010.09.21	4	quiz	5
320	2010.09.21	4	quiz	5
420	2010.09.21	4	quiz	5
389	2010.09.21	3	quiz	5
385	2010.09.21	5	quiz	5
372	2010.09.21	3	quiz	5
414	2010.09.21	3	quiz	5
323	2010.09.21	5	quiz	5
402	2010.09.21	5	quiz	5
381	2010.09.21	3	quiz	5
374	2010.09.21	5	quiz	5
391	2010.09.21	4	quiz	5
338	2010.09.21	4	quiz	5
325	2010.09.21	5	quiz	5
395	2010.09.21	3	quiz	5
383	2010.09.21	4	quiz	5
418	2010.09.21	5	quiz	5
386	2010.09.21	4	quiz	5
410	2010.09.21	4	quiz	5
371	2010.09.21	3	quiz	5
335	2010.09.21	4	quiz	5
378	2010.09.21	4	quiz	5
351	2010.09.21	4	quiz	5
412	2010.09.21	4	quiz	5
406	2010.09.21	3	quiz	5
221	2010.09.21	4	topic test	14
254	2010.09.21	4	topic test	14
255	2010.09.21	4	topic test	14
305	2010.09.21	4	topic test	14
237	2010.09.21	4	topic test	14
213	2010.09.21	4	topic test	14
43	2010.09.22	5	oral assessment	4
12	2010.09.22	5	oral assessment	4
64	2010.09.22	5	oral assessment	4
88	2010.09.22	5	oral assessment	4
404	2010.09.22	3	oral assessment	4
289	2010.09.22	5	topic test	17
318	2010.09.22	1	lesson work	6
316	2010.09.22	5	quiz	12
289	2010.09.22	5	quiz	12
290	2010.09.22	5	quiz	12
308	2010.09.22	5	quiz	12
303	2010.09.22	5	quiz	12
229	2010.09.22	5	quiz	12
318	2010.09.22	5	quiz	12
267	2010.09.22	5	quiz	12
268	2010.09.22	5	quiz	12
240	2010.09.22	5	quiz	12
319	2010.09.22	5	quiz	12
262	2010.09.22	5	quiz	12
216	2010.09.22	5	quiz	12
253	2010.09.22	4	quiz	12
288	2010.09.22	4	quiz	12
238	2010.09.22	5	quiz	12
215	2010.09.22	4	quiz	12
244	2010.09.22	5	quiz	12
181	2010.09.22	5	quiz	12
41	2010.09.22	5	quiz	5
31	2010.09.22	5	quiz	5
6	2010.09.22	2	quiz	5
80	2010.09.22	2	quiz	5
102	2010.09.22	3	quiz	5
53	2010.09.22	4	quiz	5
83	2010.09.22	5	quiz	5
212	2010.09.22	4	quiz	5
85	2010.09.22	5	quiz	5
81	2010.09.22	4	quiz	5
89	2010.09.22	4	quiz	5
46	2010.09.22	3	quiz	5
94	2010.09.22	5	quiz	5
82	2010.09.22	2	quiz	5
15	2010.09.22	5	quiz	5
101	2010.09.22	1	quiz	5
77	2010.09.22	5	quiz	5
76	2010.09.22	3	quiz	5
16	2010.09.22	3	quiz	5
38	2010.09.22	5	quiz	5
63	2010.09.22	5	quiz	5
62	2010.09.22	4	quiz	5
61	2010.09.22	5	quiz	5
67	2010.09.22	4	quiz	5
65	2010.09.22	4	quiz	5
95	2010.09.22	2	quiz	5
24	2010.09.22	4	quiz	5
25	2010.09.22	5	quiz	5
26	2010.09.22	5	quiz	5
35	2010.09.22	5	quiz	5
73	2010.09.22	5	quiz	5
68	2010.09.22	5	quiz	5
33	2010.09.22	5	quiz	5
87	2010.09.22	5	quiz	5
24	2010.09.22	1	lesson work	5
97	2010.09.22	2	topic test	11
34	2010.09.22	4	topic test	11
20	2010.09.22	4	topic test	11
45	2010.09.22	3	topic test	11
69	2010.09.22	4	topic test	3
93	2010.09.22	2	topic test	3
10	2010.09.22	5	topic test	3
52	2010.09.22	5	topic test	3
51	2010.09.22	5	topic test	3
59	2010.09.22	5	topic test	3
12	2010.09.22	5	topic test	3
14	2010.09.22	5	topic test	3
28	2010.09.22	5	topic test	3
17	2010.09.22	5	topic test	3
37	2010.09.22	5	topic test	3
88	2010.09.22	4	topic test	3
21	2010.09.22	4	topic test	3
23	2010.09.22	3	topic test	3
40	2010.09.22	4	topic test	3
60	2010.09.22	1	topic test	3
93	2010.09.22	3	topic test	3
23	2010.09.22	4	topic test	3
124	2010.09.22	3	quiz	12
396	2010.09.22	5	lesson work	11
400	2010.09.22	5	lesson work	11
232	2010.09.22	5	oral assessment	11
319	2010.09.22	5	quiz	5
262	2010.09.22	3	quiz	5
250	2010.09.22	4	quiz	5
235	2010.09.22	3	quiz	5
252	2010.09.22	3	quiz	5
253	2010.09.22	4	quiz	5
288	2010.09.22	3	quiz	5
304	2010.09.22	3	quiz	5
265	2010.09.22	5	quiz	5
230	2010.09.22	3	quiz	5
198	2010.09.22	4	quiz	5
141	2010.09.22	5	quiz	5
187	2010.09.22	5	quiz	5
127	2010.09.22	5	quiz	5
204	2010.09.22	3	quiz	5
194	2010.09.22	5	quiz	5
186	2010.09.22	4	quiz	5
130	2010.09.22	2	quiz	5
207	2010.09.22	4	quiz	5
98	2010.09.22	4	quiz	5
211	2010.09.22	5	quiz	5
133	2010.09.22	4	quiz	5
122	2010.09.22	5	quiz	5
171	2010.09.22	4	quiz	5
18	2010.09.22	4	quiz	5
188	2010.09.22	5	quiz	5
129	2010.09.22	5	quiz	5
161	2010.09.22	5	quiz	5
182	2010.09.22	5	quiz	5
165	2010.09.22	5	quiz	5
103	2010.09.22	5	quiz	5
112	2010.09.22	5	quiz	5
150	2010.09.22	5	quiz	5
125	2010.09.22	4	quiz	5
193	2010.09.22	5	quiz	5
189	2010.09.22	4	quiz	5
109	2010.09.22	2	quiz	5
100	2010.09.22	5	quiz	5
79	2010.09.22	5	quiz	5
91	2010.09.22	5	quiz	5
172	2010.09.22	5	oral assessment	3
249	2010.09.23	4	quiz	11
218	2010.09.23	2	quiz	11
297	2010.09.23	5	quiz	11
221	2010.09.23	1	quiz	11
251	2010.09.23	3	quiz	11
291	2010.09.23	3	quiz	11
223	2010.09.23	2	quiz	11
225	2010.09.23	3	quiz	11
298	2010.09.23	5	quiz	11
254	2010.09.23	3	quiz	11
255	2010.09.23	3	quiz	11
228	2010.09.23	5	quiz	11
293	2010.09.23	5	quiz	11
305	2010.09.23	3	quiz	11
248	2010.09.23	1	quiz	11
274	2010.09.23	5	quiz	11
236	2010.09.23	3	quiz	11
245	2010.09.23	2	quiz	11
237	2010.09.23	4	quiz	11
257	2010.09.23	5	quiz	11
314	2010.09.23	1	quiz	11
258	2010.09.23	3	quiz	11
311	2010.09.23	2	quiz	11
215	2010.09.23	4	quiz	11
259	2010.09.23	1	quiz	11
260	2010.09.23	4	quiz	11
261	2010.09.23	5	quiz	11
241	2010.09.23	1	quiz	11
242	2010.09.23	3	quiz	11
214	2010.09.23	5	quiz	11
83	2010.09.23	5	lesson work	18
108	2010.09.23	4	oral assessment	13
113	2010.09.23	3	oral assessment	13
84	2010.09.23	5	home test	9
149	2010.09.23	4	quiz	17
180	2010.09.23	3	quiz	17
61	2010.09.23	5	quiz	17
13	2010.09.23	3	quiz	17
197	2010.09.23	4	oral assessment	14
256	2010.09.23	4	oral assessment	10
222	2010.09.23	5	quiz	13
313	2010.09.23	5	quiz	13
298	2010.09.23	5	quiz	13
245	2010.09.23	4	quiz	13
238	2010.09.23	5	quiz	13
